department,level,title,description
Computer Science,100 Level,CSC101 - Introduction to Programming,Learn fundamental programming concepts using Python including variables control structures functions and basic data structures
Computer Science,100 Level,CSC102 - Computer Fundamentals and Applications,Explore computer hardware software operating systems and essential productivity applications for academic success
Computer Science,100 Level,CSC103 - Discrete Mathematics for Computer Science,Study logic set theory combinatorics graph theory and mathematical reasoning essential for computer science
Computer Science,200 Level,CSC201 - Data Structures and Algorithms,Master essential data structures arrays linked lists trees graphs and algorithm design techniques for efficient problem-solving
Computer Science,200 Level,CSC202 - Object-Oriented Programming,Learn OOP principles including encapsulation inheritance polymorphism using Java or C++ with practical project development
Computer Science,200 Level,CSC203 - Computer Organization and Architecture,Understand computer hardware organization instruction sets memory hierarchy and processor design fundamentals
Computer Science,200 Level,CSC204 - Database Management Systems,Study database design SQL normalization transactions and database administration using relational database systems
Computer Science,300 Level,CSC301 - Operating Systems,Explore process management memory management file systems and concurrent programming in modern operating systems
Computer Science,300 Level,CSC302 - Software Engineering Principles,Learn software development methodologies project management testing and quality assurance practices
Computer Science,300 Level,CSC303 - Computer Networks,Study network protocols TCP IP routing switching and network security fundamentals
Computer Science,300 Level,CSC304 - Web Development and Technologies,Master HTML CSS JavaScript and modern web frameworks for full-stack web application development
Computer Science,400 Level,CSC401 - Artificial Intelligence,Explore AI techniques including search algorithms knowledge representation machine learning and expert systems
Computer Science,400 Level,CSC402 - Machine Learning,Study supervised and unsupervised learning algorithms neural networks and practical ML applications
Computer Science,400 Level,CSC403 - Cybersecurity and Cryptography,Learn security principles encryption techniques network security and ethical hacking practices
Computer Science,400 Level,CSC404 - Cloud Computing and Distributed Systems,Understand cloud architectures virtualization distributed computing and scalable system design
Computer Science,500 Level,CSC501 - Advanced Algorithms and Complexity,Study advanced algorithm design techniques computational complexity and optimization problems
Computer Science,500 Level,CSC502 - Deep Learning and Neural Networks,Master deep neural networks CNNs RNNs and modern deep learning frameworks like TensorFlow and PyTorch
Computer Science,500 Level,CSC503 - Big Data Analytics,Learn big data technologies Hadoop Spark data mining and analytics for large-scale datasets
Mathematics,100 Level,MTH101 - Introduction to Calculus,Study limits derivatives integrals and applications of differential and integral calculus
Mathematics,100 Level,MTH102 - Linear Algebra I,Learn vector spaces matrices linear transformations and systems of linear equations
Mathematics,100 Level,MTH103 - Elementary Statistics,Explore descriptive statistics probability distributions hypothesis testing and statistical inference
Mathematics,200 Level,MTH201 - Multivariable Calculus,Study partial derivatives multiple integrals vector calculus and applications in 3D space
Mathematics,200 Level,MTH202 - Differential Equations,Learn ordinary differential equations solution methods and applications in science and engineering
Mathematics,200 Level,MTH203 - Probability Theory,Study probability axioms random variables distributions and stochastic processes
Mathematics,200 Level,MTH204 - Linear Algebra II,Advanced study of eigenvalues eigenvectors inner product spaces and linear transformations
Mathematics,300 Level,MTH301 - Real Analysis,Study rigorous treatment of limits continuity differentiation and integration on real numbers
Mathematics,300 Level,MTH302 - Abstract Algebra,Learn group theory ring theory field theory and algebraic structures
Mathematics,300 Level,MTH303 - Numerical Methods,Study numerical algorithms for solving equations integration differentiation and optimization problems
Mathematics,300 Level,MTH304 - Complex Analysis,Explore complex numbers analytic functions contour integration and conformal mapping
Mathematics,400 Level,MTH401 - Topology,Study topological spaces continuity compactness connectedness and fundamental group theory
Mathematics,400 Level,MTH402 - Mathematical Modeling,Learn to formulate and solve real-world problems using mathematical models and simulation techniques
Mathematics,400 Level,MTH403 - Advanced Probability and Statistics,Study advanced statistical methods regression analysis time series and Bayesian inference
Mathematics,400 Level,MTH404 - Functional Analysis,Explore normed spaces Banach spaces Hilbert spaces and operator theory
Mathematics,500 Level,MTH501 - Advanced Mathematical Analysis,Study measure theory Lebesgue integration and advanced topics in real and functional analysis
Mathematics,500 Level,MTH502 - Differential Geometry,Learn curves surfaces Riemannian geometry and applications in physics and engineering
Mathematics,500 Level,MTH503 - Applied Mathematics Research,Conduct independent research in applied mathematics with focus on contemporary mathematical problems
Physics,100 Level,PHY101 - Mechanics and Properties of Matter,Study Newton laws kinematics dynamics energy momentum and properties of solids liquids and gases
Physics,100 Level,PHY102 - Electricity and Magnetism,Learn electric fields magnetic fields circuits and electromagnetic induction fundamentals
Physics,100 Level,PHY103 - Waves and Optics,Explore wave motion sound waves light reflection refraction and optical instruments
Physics,200 Level,PHY201 - Classical Mechanics,Study Lagrangian and Hamiltonian mechanics rigid body dynamics and oscillations
Physics,200 Level,PHY202 - Thermodynamics and Statistical Mechanics,Learn laws of thermodynamics heat engines entropy and statistical interpretation of thermodynamics
Physics,200 Level,PHY203 - Modern Physics,Explore special relativity quantum mechanics atomic structure and nuclear physics
Physics,200 Level,PHY204 - Electronics and Circuit Analysis,Study semiconductor devices amplifiers oscillators and digital electronics fundamentals
Physics,300 Level,PHY301 - Quantum Mechanics I,Learn wave-particle duality Schrodinger equation operators and quantum states
